Chunk Size,Dependent Variable,Model 1,Model 2,Mean Difference (M2 - M1)
1024,rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.05065021285680925
1024,rougeLsum,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.049751740892093846
1024,rougeLsum,Mistral-7B-Instruct-v0.3,gemma-7b-spark,0.0026925799667010947
1024,rougeLsum,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.0008984719647154027
1024,rougeLsum,Phi-4-mini-instruct,gemma-7b-spark,-0.047957632890108154
1024,rougeLsum,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.04705916092539275
1024,bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.08703278139543869
1024,bert_score_P,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.011255762966860483
1024,bert_score_P,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.03164642782894733
1024,bert_score_P,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.09828854436229917
1024,bert_score_P,Phi-4-mini-instruct,gemma-7b-spark,0.05538635356649135
1024,bert_score_P,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.042902190795807815
1024,bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.007307688980306037
1024,bert_score_R,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.06057803684769841
1024,bert_score_R,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.0203299365354227
1024,bert_score_R,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.053270347867392376
1024,bert_score_R,Phi-4-mini-instruct,gemma-7b-spark,-0.027637625515728736
1024,bert_score_R,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.08090797338312111
1024,bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.023584929327344017
1024,bert_score_F1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.04826153592605076
1024,bert_score_F1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.02577944626015305
1024,bert_score_F1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.07184646525339478
1024,bert_score_F1,Phi-4-mini-instruct,gemma-7b-spark,-0.002194516932809032
1024,bert_score_F1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.07404098218620381
1024,sts_score,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.03509254315083277
1024,sts_score,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.08511467515522064
1024,sts_score,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.04984458863646002
1024,sts_score,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.12020721830605341
1024,sts_score,Phi-4-mini-instruct,gemma-7b-spark,-0.014752045485627252
1024,sts_score,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.13495926379168066
