model,max_length,train_time_sec,pred_time_sec,best_checkpoint,accuracy,f1,precision,recall
deberta-v3-base,128,222.86171875,3.039889892578125,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1264,0.9501582278481012,0.9500832159865193,0.9500217890594609,0.9501582278481012
deberta-v3-base,256,306.03540625,5.55669873046875,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1264,0.9517405063291139,0.9517644626971444,0.951789921608442,0.9517405063291139
deberta-v3-base,512,662.5585625,16.4295625,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1264,0.9501582278481012,0.9506952155323686,0.9519955949446226,0.9501582278481012
xlm-roberta-base,128,254.323734375,1.7938756103515625,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1264,0.9517405063291139,0.95141737115823,0.9513549724811908,0.9517405063291139
xlm-roberta-base,256,307.83853125,3.25360302734375,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1264,0.9462025316455697,0.9465138397040939,0.9470353528166903,0.9462025316455697
xlm-roberta-base,512,427.62553125,6.15946923828125,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1264,0.9549050632911392,0.9543057334453304,0.9547001465618911,0.9549050632911392
bert-large-uncased,128,590.3575625,7.18392041015625,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-2526,0.9564873417721519,0.9562421095274481,0.9561844055439833,0.9564873417721519
bert-large-uncased,256,775.4205,11.8856845703125,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-3789,0.9541139240506329,0.9537327768340427,0.9537506411157953,0.9541139240506329
bert-large-uncased,512,1194.4475,24.08985546875,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-2526,0.9588607594936709,0.9589816865973589,0.9591568788056843,0.9588607594936709
roberta-large,128,619.975,6.6648232421875,D:/huggingface_cache/classification_models/roberta-large\checkpoint-3789,0.9493670886075949,0.9484298986537095,0.9493474229565865,0.9493670886075949
roberta-large,256,793.919875,11.322501953125,D:/huggingface_cache/classification_models/roberta-large\checkpoint-3789,0.9533227848101266,0.9524864357806472,0.9534064594779579,0.9533227848101266
roberta-large,512,1207.082875,22.11819140625,D:/huggingface_cache/classification_models/roberta-large\checkpoint-3789,0.9517405063291139,0.9509886016083865,0.9515774404249627,0.9517405063291139
electra-large,128,601.9530625,7.44428173828125,D:/huggingface_cache/classification_models/electra-large\checkpoint-1263,0.7737341772151899,0.7037419689147828,0.811106477917092,0.7737341772151899
electra-large,256,803.71625,12.5623388671875,D:/huggingface_cache/classification_models/electra-large\checkpoint-3789,0.9382911392405063,0.937075343254618,0.9379042747420601,0.9382911392405063
electra-large,512,1399.067375,30.064796875,D:/huggingface_cache/classification_models/electra-large\checkpoint-3789,0.9556962025316456,0.9548233233622898,0.9560639551593937,0.9556962025316456
xlm-roberta-large,128,862.55375,6.61644384765625,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-3789,0.28164556962025317,0.20202343303429876,0.5263487645071965,0.28164556962025317
xlm-roberta-large,256,1038.67975,10.9918984375,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-2526,0.9517405063291139,0.95141737115823,0.9513549724811908,0.9517405063291139
xlm-roberta-large,512,1451.694625,22.052892578125,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-2526,0.9501582278481012,0.9504698576272506,0.9510294379546985,0.9501582278481012
deberta-large,128,874.85,13.1368837890625,D:/huggingface_cache/classification_models/deberta-large\checkpoint-3789,0.942246835443038,0.9410043394289442,0.942195903152452,0.942246835443038
deberta-large,256,1091.308,18.0754296875,D:/huggingface_cache/classification_models/deberta-large\checkpoint-2526,0.9462025316455697,0.9450123181176004,0.9464079351481102,0.9462025316455697
deberta-large,512,3215.33275,48.52293359375,D:/huggingface_cache/classification_models/deberta-large\checkpoint-3789,0.939873417721519,0.9379304289916783,0.9411832545225142,0.939873417721519
bert,128,115.4943515625,2.065423095703125,D:/huggingface_cache/classification_models/bert\checkpoint-1264,0.9541139240506329,0.9539273259389034,0.9538389286643325,0.9541139240506329
bert,256,207.312140625,3.71302294921875,D:/huggingface_cache/classification_models/bert\checkpoint-1264,0.9517405063291139,0.9510991182485115,0.9514457257850459,0.9517405063291139
bert,512,292.02684375,6.87504638671875,D:/huggingface_cache/classification_models/bert\checkpoint-1264,0.9485759493670886,0.9474696172997448,0.9488270982482534,0.9485759493670886
