model,max_length,train_time_sec,pred_time_sec,accuracy,f1,precision,recall
electra-large,256,940.5776875,23.927115234375,0.9781729991915926,0.9775795312111428,0.9780595921871776,0.9781729991915926
electra-large,512,1791.766625,59.139875,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
xlm-roberta-large,128,1624.692875,15.191505859375,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
xlm-roberta-large,256,1774.165125,21.2355703125,0.978981406628941,0.9783774685121461,0.9789739320973547,0.978981406628941
xlm-roberta-large,512,2267.8905,41.723484375,0.9620048504446241,0.9606128485590927,0.9610183184136326,0.9620048504446241
deberta-large,128,2589.74075,37.11095703125,0.9797898140662894,0.9793627253582601,0.9795937622436659,0.9797898140662894
deberta-large,256,2939.949,49.74116796875,0.9830234438156831,0.9826646893009385,0.9829724397087037,0.9830234438156831
deberta-large,512,4522.5005,111.3387265625,0.9814066289409863,0.9810687297511795,0.98122271788871,0.9814066289409863
deberta-v3-large,128,2771.03225,40.74128515625,0.9765561843168957,0.9761301375123569,0.9761867224918342,0.9765561843168957
deberta-v3-large,256,3081.34675,51.81464453125,0.9830234438156831,0.9826646893009385,0.9829724397087037,0.9830234438156831
deberta-v3-large,512,4186.88125,103.4475,0.9797898140662894,0.9794814281114305,0.9795191647296909,0.9797898140662894
deberta-xlarge,128,4897.871,68.0470078125,0.9797898140662894,0.9793019895139387,0.979669200433153,0.9797898140662894
deberta-xlarge,256,5630.3785,94.3806171875,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
deberta-xlarge,512,8753.064,219.719546875,0.9773645917542442,0.9770518044511045,0.977020851259725,0.9773645917542442
